,שם עמודה,מספר תווים
0,מספר תיק ניכויים,9
1,מספר אגיד,2
2,סוג רשומה,2
3,שנת המס המדווחת,4
4,מספר תעודת זהות,9
5,מדינת המוצא של העובד הזר,3
6,מספר דרכון עובד זר,13
7,זיהוי עובד זר,1
8,שם משפחה,20
9,שם פרטי,15
10,רחוב שכונה ומספר בית,20
11,עיר/ישוב,15
12,מיקוד,5
13,מין ,1
14,מצב משפחתי,2
15,תאריך שינוי מצב משפחתי,8
16,מצב משפחתי קודם,2
17,תאריך לידה,8
18,מס תעודת זהות של בן/בת הזוג,9
19,שם פרטי של בן/בת הזוג,15
20,תאריך לידה בן/בת הזוג,8
21,סוג משרה,2
22,תאריך התחלת עבודה אצל המעביד,8
23,פרוט חודשי עבודה,22
24,סהכ חודשי עבודה,2
25,תשלומים  מהם נוכה מס רגיל ולא פורטו בנפרד,10
26,שווי שימוש ברכב,8
27,החזר הוצאות,8
28,שכר שעות נוספות ותשלומים בשל מאמץ מיוחד או ארוע מסוים,8
29,סכום ההפרשה לבטוח אובדן כושר עבודה ממנו נוכה מס,8
30,סכום ההפרשה לקצבה ממנו נוכה מס,8
31,סכום ההפרשה לקרן השתלמות ממנו נוכה מס,8
32,תשלומים שנוכה מהם מס בשיעור מיוחד בהוראת פקיד שומה  או עפי תקנות מס הכנסה ,8
33,מקדמה ששולמה לעובד היוצא לשנת שבתון,8
34,שכר עבודה במשמרות במפעל תעשייתי ממנו נוכה מס מופחת,8
35,שכר עבודה במשמרות במפעל תעשייתי ממנו נוכה מס רגיל,10
36,תשלומים פטורים ממס.,8
37,סהכ המשכורת והתשלומים ,10
38,"הכנסות פטורות ממס, נכה ועוור לפי סעיף 9(5).",8
39,סכום הפרשה לפיצויים ממנו נוכה מס,8
40,FILLER,1
41,ניכוי מכוח סעיף 47א לפקודה בשל תשלום ביטוח לאומי בשל יחיד שמעסיקו אינו חייב בתשלום דמי ביטוח לאומי בעדו והוא חייב בתשלומם לגבי הכנסת העבודה שלו.,6
42,"הסכום שנוכה מהמשכורת או ששילם העובד לקופג לקצבה (עמית עצמאי), אין הפרשת מעביד. ",6
43,הסכום שנוכה מהמשכורת או ששילם העובד לביטוח חיים (עמית עצמאי) אין הפרשת מעביד,6
44,הסכום שנוכה מהמשכורת כהשתתפות בהוצאות מחקר ופתוח,7
45,ניכוי מיוחד לפי אישור פקיד השומה או הנציב,7
46,תשלום לכיסוי הוצאות ,9
47,"הסכום שנוכה מהמשכורת או ששילם העובד לקופג לקצבה (עמית עצמאי) לחישוב זיכוי, אין הפרשת מעביד. ",6
48,עידוד צמיחה,8
49,הסכום שנוכה ממשכורת העובד או ששילם העובד לביטוח שאירים,6
50,ניכוי לימאים,8
51,קוד עולה חדש / תושב חוזר,1
52,נקודות זיכוי לתושב,1
53,חצי נקודת זיכוי לאשה,1
