index,עמודה2,len,title
1,1-Sep,9,מספר תיק ניכויים
2,10-Nov,2,מספר אגיד
3,13 - 12,2,"סוג  רשומה ""30"""
4,17 - 14,4,שנת מס: השנה בגינה מוגש הדוח
5,26 - 18,9,אפסים
6,31 - 27,5,FILLER
7,43 - 32,12,"סה""כ תשלומים מהם נוכה מס רגיל"
8,55 - 44,12,
9,67 - 56,12,"סכום ההפרשה לתגמולים, לקיצבה או לקרן השתלמות ממנו נוכה מס (סיכום שדות 30+31+32+33  ברשומה 20  )"
10,79 - 68,12,"סה""כ תשלומים הפטורים ממס מעסיקים"
11,91 - 80,12,"סה""כ תשלומים ושווי הנחות הפטורים ניכוי מס"
12,103 - 92,12,"סה""כ משכורת ותשלומים"
13,115 - 104,12,"סה""כ מס ההכנסה שנוכה"
14,121 -116,6,"מספר רשומות פרט מסוג רשומה ""20"" בקובץ"
14א,125 - 122,4,ריק FILLER
15,137 - 126,12,תשלומים חייבים בדמי ביטוח לאומי עד למקסימום שפורסם
16,149 - 138,12,תשלומים פטורים מדמי  ביטוח לאומי
17,161 - 150,12,תשלומים פטורים מדמי  ביטוח לאומי מעל המקסימום שפורסם
18,173 - 162,12,תשלומים של ברוטו הפרשים שנים קודמות.
19,185 - 174,12,תשלומים של שכר נוסף עד המקסימום 
20,197 - 186,12,"סה""כ דמי ביטוח לאומי שנוכו מהעובדים"
21,209 - 198,12,"סה""כ דמי ביטוח בריאות שנוכו מהעובדים"
22,211 - 210,2,"""44"" קבוע"
23,216 - 212,5,"""בדיקה"" קבוע. יש לרשום בשדה זה את המילה ""בדיקה"" בהתאם להנחיות שניתנו בעניין רישום שם פרטי ושם משפחה. "
24,217-283,67,ריק FILLER
24א,284-289,6,"מספר כולל של רשומות בדו""ח (מכל הסוגים)"
24א 1,290-877,588,FILLER
24א 2,878-888,11,"מספר תיק ניכויים של ב""ל"
24ב,889-959,71,FILLER
25,960-964,5,מספר מפעל
