index,עמודות,len,title,מיקום הנתונים
1,1-Sep,9,מספר תיק ניכויים,-------------------------
2,10-Nov,2,מספר אגיד,--------------------------
3,13 - 12,2,סוג רשומה 40,--------------------------
4,17 - 14,4,שנת מס,--------------------------
5,26 - 18,9,אפסים,--------------------------
6,31 - 27,5,FILLER,------------------------
7,32,1,FILLER,
8,33,1,"האם שודר/ישודר דוח משלים? כן 1, לא 2",
9,42 - 34,9,מספר תיק עצמאי או,
11,54 - 44,11,סהכ משכורת ותשלומים לפי הדוח החודשי (טופס 0102) ,
12,65 - 55,11,דמי ביטוח לאומי ודמי ביטוח בריאות (סהכ חובה לפי טופס 0102) (כולל הניכוי מהעובדים),
13,76 - 66,11,ריק FILLER,
14,87 - 77,11,סהכ השכר הפטור מדמי ביטוח לפי צבירת שדה 123 ברשומת פרט 20 בלבד ,שדה 23   74 - 65
15,98 - 88,11,סהכ סכומים פטורים מדמי ביטוח לאומי מעל המקסימום שפורסם לפי צבירת שדה 127 ברשומת פרט 20,שדה 24   84 - 75
16,109 - 99,11,ריק FILLER,שדה 25  94 - 85
17,120 - 110,11,סהכ משכורת ותשלומים לפי צבירת שדה 39 ברשומת פרט 20 ,שדה 26  104 - 95
18,131 - 121,11,ריק FILLER,
19,142 - 132,11,סהכ משכורת ותשלומים לפי דוח חודשי (טופס 0102) לא כולל תשלומים לעובדים באמצעות שירות התעסוקה,
20,153 - 143,11,,
21,164 - 154,11,מס מעסיקים לפי הדוח החודשי (0102) כולל שכר עבור עובדים באמצעות שירות התעסוקה,טור ג'   64 - 56
22,175 - 165,11,ניכוי מס הכנסה לפי דוח חודשי טופס 0102,טור ב'    74 - 65
23,181 - 176,6,ההטבה להפחתת עלויות השכר באילת שקוזזה מניכוי המס,טור ח'    80 - 75
24,192 - 182,11,סהכ מס הכנסה שנוכה לפי צבירת שדה 116 ברשומת פרט 20,שדה 9    90 - 81
26,214 - 204,11,סהכ תגמולי מילואים ששולמו עח הביטוח הלאומי,שדה 16  105 - 98
27,225 - 215,11,"סהכ קצובות הכלולות במשכורת לצורך חישובי המס - שווי רכב צמוד, דיור, שווי רדיו טלפון נייד וכדומה שהועמדו לרשות העובד, הפרשת המעביד לקופת גמל וקרן השתלמות שחויבו במס",
28,226-233,8,היטל על העסקת עובדים זרים,
29,234-283,50,כתובת דואר אלקטרוניe-mail ,
30,284-289,6,סהכ עובדים בדוח במקום שדה 6 ,
30א',290-299,10,יתרת מס לאחר קיזוז סיכום שדה 116 בניכוי סיכום שדה 118 ברשומת פרט 20,
30ב',300-311,12,סיכום כללי 18+20,
30ג',312-321,10,ההפרש בין 18 לטור ד ,
30ד',322-331,10,"ההפרש בין שדה 26 (שבחלק א לדוח הידני) לטור ז, צבירת שדה 39 ברשומת פרט 20 פחות צבירת שדה 15 ברשומה 50.",שדה 29
30ה',332-341,10,מס מעסיקים בשרות התעסוקה (שדה 13 חלק א בטופס הידני),
30ו',342-351,10,מס שכר ששולם בשרות התעסוקה (שדה 01 חלק א בטופס הידני),
30ז',352-361,10,דמי ביטוח לאומי וביטוח בריאות (כולל הניכוי מהעובדים) (טור ו בחלק א בטופס הידני),
30ח',362-371,10,דמי בטוח לאומי ומס בריאות שנוכו מהעובדים ,
30ט',372-381,10,ניכוי מס הכנסה ומס מעסיקים,
30י',382-393,12,מס שכר למוסד ללא כוונת רווח  או מוסד כספי     ( כולל לעובדים באמצעות שרות התעסוקה) (סיכום טור ט בחלק א בטופס הידני),טור ט'
30י' 1,394-401,8,ההטבה להפחתת עלויות השכר באילת שקוזזה מניכוי המס,טור ח'    80 - 75
"30י""א",402-411,10,מס הטלפון של החברה שהכינה את הדוח,
30יא'1,412-877,466,FILLER,
30יא'2,878-888,11,מספר תיק ניכויים של בל,
30יא'3,889-957,69,FILLER,
"30י""ב",958-959,2,רבעון בדיווח השנתי שדה זה ריק,
31,960-964,5,מספר מפעל,
